"","x"
"X802",1
"X803",2
"X804",2
"X805",2
"X806",2
"X807",3
"X808",2
"X809",2
"X810",2
"X811",2
"X812",2
"X813",1
"X814",2
"X815",2
"X816",1
"X817",1
"X818",1
"X819",2
"X820",2
"X821",2
"X822",2
"X823",2
"X824",2
"X825",2
"X826",2
"X827",2
"X828",2
"X829",2
"X830",1
"X831",1
"X832",2
"X833",1
"X834",2
"X835",2
"X836",2
"X837",1
"X838",1
"X839",2
"X840",1
"X841",2
"X842",1
"X843",1
"X844",2
"X845",1
"X846",1
"X847",2
"X848",2
"X849",2
"X850",2
"X851",1
"X852",1
"X853",2
"X854",2
"X855",2
"X856",1
"X857",2
"X858",1
"X859",1
"X860",1
"X861",3
"X862",2
"X863",1
"X864",1
"X865",1
"X866",1
"X867",2
"X868",1
"X869",1
"X870",2
"X871",2
"X872",1
"X873",1
"X874",2
"X875",1
"X876",1
"X877",2
"X878",1
"X879",2
"X880",1
"X881",1
"X882",2
"X883",2
"X884",1
"X885",1
"X886",1
"X887",2
"X888",2
"X889",1
"X890",1
"X891",2
"X892",1
"X893",1
"X894",2
"X895",1
"X896",1
"X897",1
"X898",1
"X899",1
"X900",1
"X901",2
"X902",2
"X903",2
"X904",1
"X905",2
"X906",1
"X907",1
"X908",1
"X909",2
"X910",2
"X911",2
"X912",2
"X913",2
"X914",1
"X915",2
"X916",1
"X917",1
"X918",1
"X919",2
"X920",1
"X921",1
"X922",2
"X923",2
"X924",2
"X925",2
"X926",2
"X927",1
"X928",2
"X929",2
"X930",2
"X931",1
"X932",1
"X933",1
"X934",1
"X935",1
"X936",1
"X937",1
"X938",1
"X939",1
"X940",1
"X941",1
"X942",1
"X943",1
"X944",1
"X945",1
"X946",1
"X947",1
"X948",1
"X949",1
"X950",1
"X951",1
"X952",1
"X953",1
"X954",1
"X955",1
"X956",1
"X957",1
"X958",1
"X959",1
"X960",1
"X961",1
"X962",1
"X963",1
"X964",1
"X965",1
"X966",1
"X967",1
"X968",1
"X969",1
"X970",1
"X971",1
"X972",1
"X973",1
"X974",1
"X975",1
"X976",1
"X977",1
"X978",1
"X979",1
"X980",1
"X981",1
"X982",1
"X983",1
"X984",1
"X985",1
"X986",1
"X987",1
"X988",1
"X989",1
"X990",1
"X991",1
"X992",1
"X993",1
"X994",1
"X995",1
"X996",1
"X997",1
"X998",1
"X999",1
"X1000",1
"X1001",1
"X1002",1
"X1003",1
"X1004",1
"X1005",1
"X1006",1
"X1007",1
"X1008",1
"X1009",1
"X1010",1
"X1011",1
"X1012",1
"X1013",1
"X1014",1
"X1015",1
"X1016",1
"X1017",1
"X1018",1
"X1019",1
"X1020",1
"X1021",1
"X1022",1
"X1023",1
"X1024",1
"X1025",1
"X1026",1
"X1027",1
"X1028",1
"X1029",2
"X1030",2
"X1031",2
"X1032",2
"X1033",2
"X1034",1
"X1035",1
"X1036",1
"X1037",2
"X1038",2
"X1039",2
"X1040",1
"X1041",2
"X1042",2
"X1043",1
"X1044",2
"X1045",2
"X1046",3
"X1047",3
"X1048",2
"X1049",2
"X1050",1
"X1051",2
"X1052",2
"X1053",3
"X1054",1
"X1055",1
"X1056",1
"X1057",2
"X1058",2
"X1059",1
"X1060",1
"X1061",1
"X1062",1
"X1063",2
"X1064",2
"X1065",2
"X1066",2
"X1067",2
"X1068",1
"X1069",2
"X1070",2
"X1071",1
"X1072",2
"X1073",1
"X1074",1
"X1075",1
"X1076",1
"X1077",1
"X1078",2
"X1079",2
"X1080",1
"X1081",1
"X1082",1
"X1083",1
"X1084",1
"X1085",1
"X1086",1
"X1087",3
"X1088",1
"X1089",1
"X1090",1
"X1091",1
"X1092",1
"X1093",2
"X1094",2
"X1095",1
"X1096",1
"X1097",2
"X1098",1
"X1099",2
"X1100",2
"X1101",1
"X1102",1
"X1103",1
"X1104",2
"X1105",3
"X1106",3
"X1107",2
"X1108",3
"X1109",2
"X1110",3
"X1111",3
"X1112",2
"X1113",3
"X1114",2
"X1115",3
"X1116",3
"X1117",3
"X1118",1
"X1119",2
"X1120",2
"X1121",1
"X1122",2
"X1123",2
"X1124",1
"X1125",1
"X1126",2
"X1127",2
"X1128",1
"X1129",2
"X1130",2
"X1131",2
"X1132",1
"X1133",1
"X1134",1
"X1135",1
"X1136",2
"X1137",1
"X1138",1
"X1139",1
"X1140",2
"X1141",1
"X1142",1
"X1143",1
"X1144",1
"X1145",2
"X1146",2
"X1147",1
"X1148",2
"X1149",2
"X1150",3
"X1151",2
"X1152",1
"X1153",1
"X1154",3
"X1155",2
"X1156",2
"X1157",1
"X1158",1
"X1159",1
"X1160",2
"X1161",2
"X1162",1
"X1163",2
"X1164",1
"X1165",1
"X1166",1
"X1167",1
"X1168",1
"X1169",1
"X1170",1
"X1171",1
"X1172",1
"X1173",1
"X1174",1
"X1175",1
"X1176",1
"X1177",1
"X1178",1
"X1179",1
"X1180",1
"X1181",1
"X1182",2
"X1183",1
"X1184",1
"X1185",1
"X1186",1
"X1187",1
"X1188",1
"X1189",1
"X1190",1
